sample_id,num_reads_parasite
HPGL0366,10421369
HPGL0368,7361505
HPGL0370,5965758
HPGL0372,5309394
HPGL0376,11152229
HPGL0378,8828678
HPGL0380,9344016
HPGL0382,7893102
HPGL0399,5120808
HPGL0401,5661252
HPGL0403,5726294
HPGL0405,7731193
HPGL0459,11308107
HPGL0463,10962548
HPGL0467,8788468
HPGL0497,1643476
HPGL0501,1247125
HPGL0505,678226
HPGL0509,690621
HPGL0364,33797083
HPGL0374,33800133
HPGL0397,39297739
HPGL0456,45072394
HPGL0494,39963019
HPGL0363,35903913
HPGL0373,35838575
HPGL0396,46552763
HPGL0455,34504905
HPGL0493,36080625
