sample_id,condition,batch,accession
HPGL0252,epi,E,SRR1346057
HPGL0253,epi,E,SRR1346058
HPGL0254,epi,E,SRR1346059
HPGL0062,trypo,A,SRR1346053
HPGL0249,trypo,E,SRR1346054
HPGL0250,trypo,E,SRR1346055
HPGL0251,trypo,E,SRR1346056
HPGL0064,4,A,SRR1346027
HPGL0112,4,C,SRR1346029
HPGL0066,6,A,SRR1346031
HPGL0113,6,B,SRR1346032
HPGL0114,6,C,SRR1346033
HPGL0068,12,A,SRR1346035
HPGL0115,12,B,SRR1346036
HPGL0070,24,A,SRR1346038
HPGL0116,24,B,SRR1346039
HPGL0117,24,C,SRR1346040
HPGL0056,48,D,SRR1346044
HPGL0060,48,D,SRR1346045
HPGL0072,48,A,SRR1346046
HPGL0258,48,C,SRR1346047
HPGL0058,72,D,SRR1346050
HPGL0061,72,D,SRR1346051
HPGL0256,72,E,SRR1346052
